,atom1,atom2,atom3,"D(1,2)","D(2,3)","D(1,3)",A(1),A(2),A(3)
484,8,10,12,2.5117565566750324,1.357930778795443,3.7506971352003373,-0.8081240601016838,0.2112616346720591,-0.8201607024625039
485,8,10,13,2.5117565566750324,2.3322191149203793,4.205015695571186,-0.8081240601016838,-0.6899520355309156,-0.48588311414604846
486,8,10,14,2.5117565566750324,3.5397406684671084,5.543062059908765,-0.8081240601016838,-0.9217806110175106,0.7383854489763142
487,8,10,15,2.5117565566750324,2.7663625937320653,3.717609043457907,-0.8081240601016838,-0.9304233326823877,-0.8386391208815646
488,8,10,16,2.5117565566750324,2.402117815595231,2.4769596282539634,-0.8081240601016838,-0.7388225672722095,-0.787143177204152
489,8,11,12,2.762980274992929,2.2694953183472357,3.7506971352003373,-0.9291784385249969,-0.6432220761628643,-0.8201607024625039
490,8,11,13,2.762980274992929,3.4712967317704235,4.205015695571186,-0.9291784385249969,-0.9461381935071713,-0.48588311414604846
491,8,11,14,2.762980274992929,4.558288384909406,5.543062059908765,-0.9291784385249969,-0.15349141492847201,0.7383854489763142
492,8,11,15,2.762980274992929,4.004083041096928,3.717609043457907,-0.9291784385249969,-0.650548125246604,-0.8386391208815646
493,8,11,16,2.762980274992929,3.518694218030322,2.4769596282539634,-0.9291784385249969,-0.9297358223295418,-0.787143177204152
494,8,12,13,3.7506971352003373,1.334469932220279,4.205015695571186,-0.8201607024625039,0.23413271805733255,-0.48588311414604846
